ID;Nombre;IdFutwiz;Enlace;Media;Calidad;Equipo;Liga;Pais;Ritmo;Tiro;Pase;Regate;Defensa;Fisico
0;sophia smith;20627;https://www.futwiz.com/en/fc25/player/sophia-smith/20627;97;5;Portland Thorns ;USA F;Estados Unidos;98;95;87;98;54;93
1;jude bellingham;20637;https://www.futwiz.com/en/fc25/player/jude-bellingham/20637;97;5;Real Madrid ;ESP 1;Inglaterra;90;95;92;97;87;91
2;aitana bonmati;20641;https://www.futwiz.com/en/fc25/player/aitana-bonmati/20641;97;5;FC Barcelona ;ESP F;España;90;92;95;97;85;84
3;vini jr.;20615;https://www.futwiz.com/en/fc25/player/vini-jr./20615;97;5;Real Madrid ;ESP 1;Brasil;99;91;90;98;38;78
4;rodri;20633;https://www.futwiz.com/en/fc25/player/rodri/20633;97;5;Manchester City ;ENG 1;España;89;86;94;91;97;92
5;caroline hansen;20628;https://www.futwiz.com/en/fc25/player/caroline-hansen/20628;97;5;FC Barcelona ;ESP F;Noruega;96;95;95;97;58;86
6;lauren james;20620;https://www.futwiz.com/en/fc25/player/lauren-james/20620;96;5;Chelsea ;;Inglaterra;98;91;90;97;51;93
7;pele;20631;https://www.futwiz.com/en/fc25/player/pele/20631;96;155;Icons ;ICO;Brasil;94;95;92;95;60;80
8;kylian mbappe;20629;https://www.futwiz.com/en/fc25/player/kylian-mbappe/20629;96;5;Real Madrid ;ESP 1;Francia;99;95;86;97;43;85
9;guro reiten;20642;https://www.futwiz.com/en/fc25/player/guro-reiten/20642;96;5;Chelsea ;;Noruega;96;91;94;94;70;75
10;alexia putellas;20640;https://www.futwiz.com/en/fc25/player/alexia-putellas/20640;96;5;FC Barcelona ;ESP F;España;88;95;96;97;80;86
11;mohamed salah;20630;https://www.futwiz.com/en/fc25/player/mohamed-salah/20630;96;5;Liverpool ;ENG 1;Egipto;96;94;91;96;57;84
12;virgil van dijk;20644;https://www.futwiz.com/en/fc25/player/virgil-van-dijk/20644;96;5;Liverpool ;ENG 1;Holanda;87;67;80;78;96;95
13;zinedine zidane;19260;https://www.futwiz.com/en/fc25/player/zinedine-zidane/19260;96;157;Icons ;ICO;Francia;86;92;96;96;76;86
14;cole palmer;20638;https://www.futwiz.com/en/fc25/player/cole-palmer/20638;95;5;Chelsea ;ENG 1;Inglaterra;90;93;95;97;60;80
15;william saliba;20648;https://www.futwiz.com/en/fc25/player/william-saliba/20648;95;5;Arsenal ;ENG 1;Francia;90;47;80;83;95;93
16;eusebio;20645;https://www.futwiz.com/en/fc25/player/eusebio/20645;95;155;Icons ;ICO;Portugal;94;95;88;95;48;82
